"","target","p","padj"
"Adrenergic alpha-2 Receptor Antagonists","Adrenergic alpha-2 Receptor Antagonists",0.429,1
"Adrenergic beta-1 Receptor Agonists","Adrenergic beta-1 Receptor Agonists",0.429,1
"Dopamine D2 Receptor Antagonists","Dopamine D2 Receptor Antagonists",0.43,1
"Anticestodal Agents","Anticestodal Agents",0.434,1
"Fatty Acid Synthesis Inhibitors","Fatty Acid Synthesis Inhibitors",0.434,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.435,1
"Alkylating Agents","Alkylating Agents",0.436,1
"Proton Ionophores","Proton Ionophores",0.44,1
"Adjuvants, Anesthesia","Adjuvants, Anesthesia",0.442,1
"Muscarinic Antagonists","Muscarinic Antagonists",0.451,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.456,1
"Androgens","Androgens",0.46,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.46,1
"Central Nervous System Stimulants","Central Nervous System Stimulants",0.466,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.47,1
"Mydriatics","Mydriatics",0.472,1
"Myeloablative Agonists","Myeloablative Agonists",0.48,1
"Aromatase Inhibitors","Aromatase Inhibitors",0.485,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.49,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.497,1
"Estrogen Antagonists","Estrogen Antagonists",0.498,1
"Antinematodal Agents","Antinematodal Agents",0.503,1
"Diuretics","Diuretics",0.508,1
"Immunologic Factors","Immunologic Factors",0.516,1
"Dopamine Uptake Inhibitors","Dopamine Uptake Inhibitors",0.518,1
"Cyclooxygenase Inhibitors","Cyclooxygenase Inhibitors",0.52,1
"Antipruritics","Antipruritics",0.531,1
"Anabolic Agents","Anabolic Agents",0.533,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.555,1
"Proton Pump Inhibitors","Proton Pump Inhibitors",0.555,1
"Antimalarials","Antimalarials",0.556,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.557,1
"Glycoside Hydrolase Inhibitors","Glycoside Hydrolase Inhibitors",0.567,1
"Miotics","Miotics",0.569,1
"Angiotensin II Type 1 Receptor Blockers","Angiotensin II Type 1 Receptor Blockers",0.577,1
"Antiparkinson Agents","Antiparkinson Agents",0.584,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.593,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.624,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.624,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.626,1
"Cardiovascular Agents","Cardiovascular Agents",0.626,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.645,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.651,1
"Nicotinic Agonists","Nicotinic Agonists",0.661,1
"Leukotriene Antagonists","Leukotriene Antagonists",0.662,1
"Cholinergic Antagonists","Cholinergic Antagonists",0.664,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.68,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.681,1
"Antiparasitic Agents","Antiparasitic Agents",0.682,1
"Hypnotics and Sedatives","Hypnotics and Sedatives",0.687,1
"Mutagens","Mutagens",0.693,1
"Emetics","Emetics",0.695,1
"Excitatory Amino Acid Antagonists","Excitatory Amino Acid Antagonists",0.698,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.705,1
"Histamine H3 Antagonists","Histamine H3 Antagonists",0.718,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.733,1
"Cathartics","Cathartics",0.733,1
"Insecticides","Insecticides",0.744,1
"Adrenergic beta-Antagonists","Adrenergic beta-Antagonists",0.748,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.752,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.758,1
"Adrenergic beta-1 Receptor Antagonists","Adrenergic beta-1 Receptor Antagonists",0.766,1
"Detergents","Detergents",0.773,1
"Antifungal Agents","Antifungal Agents",0.777,1
"Coloring Agents","Coloring Agents",0.779,1
"Fibrinolytic Agents","Fibrinolytic Agents",0.784,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.787,1
"Antidiarrheals","Antidiarrheals",0.789,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.791,1
"Angiogenesis Inhibitors","Angiogenesis Inhibitors",0.795,1
"Estrogens, Non-Steroidal","Estrogens, Non-Steroidal",0.796,1
"Amebicides","Amebicides",0.803,1
"Serotonin Uptake Inhibitors","Serotonin Uptake Inhibitors",0.811,1
"Carcinogens","Carcinogens",0.812,1
"Serotonin Antagonists","Serotonin Antagonists",0.815,1
"Hormone Antagonists","Hormone Antagonists",0.823,1
"Adrenergic Agents","Adrenergic Agents",0.826,1
"Contraceptive Agents","Contraceptive Agents",0.832,1
"Dopamine Agents","Dopamine Agents",0.832,1
"Anthelmintics","Anthelmintics",0.838,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.84,1
"Antiemetics","Antiemetics",0.842,1
"Anesthetics, Intravenous","Anesthetics, Intravenous",0.846,1
"Respiratory System Agents","Respiratory System Agents",0.846,1
"Progestins","Progestins",0.848,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.849,1
"Neuroprotective Agents","Neuroprotective Agents",0.853,1
"Muscarinic Agonists","Muscarinic Agonists",0.863,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.865,1
"Intercalating Agents","Intercalating Agents",0.867,1
"Sodium Potassium Chloride Symporter Inhibitors","Sodium Potassium Chloride Symporter Inhibitors",0.871,1
"Phytoestrogens","Phytoestrogens",0.874,1
"Glucocorticoids","Glucocorticoids",0.889,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.891,1
"Anti-Infective Agents, Urinary","Anti-Infective Agents, Urinary",0.893,1
"Protease Inhibitors","Protease Inhibitors",0.896,1
"Folic Acid Antagonists","Folic Acid Antagonists",0.901,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.903,1
"Expectorants","Expectorants",0.907,1
"Leprostatic Agents","Leprostatic Agents",0.909,1
"Trypanocidal Agents","Trypanocidal Agents",0.909,1
"Anti-Asthmatic Agents","Anti-Asthmatic Agents",0.917,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.932,1
"Antitussive Agents","Antitussive Agents",0.938,1
"Dermatologic Agents","Dermatologic Agents",0.938,1
"Antineoplastic Agents","Antineoplastic Agents",0.94,1
"Free Radical Scavengers","Free Radical Scavengers",0.941,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.944,1
"Antiviral Agents","Antiviral Agents",0.946,1
"Sympatholytics","Sympatholytics",0.946,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.959,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.96,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.96,1
"Schistosomicides","Schistosomicides",0.963,1
"Radiation-Protective Agents","Radiation-Protective Agents",0.979,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.98,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.981,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.984,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.986,1
"Antipyretics","Antipyretics",0.99,1
"Antibiotics, Antitubercular","Antibiotics, Antitubercular",0.992,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.995,1
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.996,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.999,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",1,1
