"","target","p","padj"
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.388,1
"Urological Agents","Urological Agents",0.388,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.393,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.421,1
"Antipsychotic Agents","Antipsychotic Agents",0.422,1
"Antitussive Agents","Antitussive Agents",0.426,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.427,1
"Sympathomimetics","Sympathomimetics",0.427,1
"Tocolytic Agents","Tocolytic Agents",0.427,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.428,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.432,1
"Anti-HIV Agents","Anti-HIV Agents",0.433,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.434,1
"Vasodilator Agents","Vasodilator Agents",0.444,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.459,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.46,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.46,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.46,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.46,1
"Keratolytic Agents","Keratolytic Agents",0.461,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.483,1
"Anticonvulsants","Anticonvulsants",0.502,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.519,1
"Coccidiostats","Coccidiostats",0.519,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.519,1
"Progestins","Progestins",0.523,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.525,1
"Nasal Decongestants","Nasal Decongestants",0.525,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.525,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.527,1
"Bronchodilator Agents","Bronchodilator Agents",0.539,1
"Dopamine Antagonists","Dopamine Antagonists",0.542,1
"Glucocorticoids","Glucocorticoids",0.545,1
"Antioxidants","Antioxidants",0.552,1
"Alkylating Agents","Alkylating Agents",0.558,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.558,1
"Antiemetics","Antiemetics",0.594,1
"Myeloablative Agonists","Myeloablative Agonists",0.594,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.595,1
"Indicators and Reagents","Indicators and Reagents",0.598,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.6,1
"Anti-Infective Agents","Anti-Infective Agents",0.613,1
"Antidepressive Agents","Antidepressive Agents",0.614,1
"Antirheumatic Agents","Antirheumatic Agents",0.614,1
"Antiparasitic Agents","Antiparasitic Agents",0.615,1
"GABA Antagonists","GABA Antagonists",0.634,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.669,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.671,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.677,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.735,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.746,1
"Uricosuric Agents","Uricosuric Agents",0.746,1
"Antinematodal Agents","Antinematodal Agents",0.753,1
"Analgesics","Analgesics",0.755,1
"Tubulin Modulators","Tubulin Modulators",0.761,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.773,1
"Narcotic Antagonists","Narcotic Antagonists",0.777,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.784,1
"Cardiotonic Agents","Cardiotonic Agents",0.805,1
"Anticestodal Agents","Anticestodal Agents",0.806,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.81,1
"Trypanocidal Agents","Trypanocidal Agents",0.815,1
"Intercalating Agents","Intercalating Agents",0.832,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.834,1
"Antimetabolites","Antimetabolites",0.838,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.838,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.839,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.873,1
"Nootropic Agents","Nootropic Agents",0.873,1
"Cardiovascular Agents","Cardiovascular Agents",0.892,1
"Anthelmintics","Anthelmintics",0.909,1
"Insecticides","Insecticides",0.909,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.911,1
"Antipruritics","Antipruritics",0.911,1
"Antimalarials","Antimalarials",0.916,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.938,1
