"","target","p","padj"
"Indicators and Reagents","Indicators and Reagents",0.359,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.376,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.379,1
"Cardiovascular Agents","Cardiovascular Agents",0.395,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.401,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.405,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.406,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.407,1
"Estrogen Antagonists","Estrogen Antagonists",0.414,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.424,1
"Analgesics","Analgesics",0.425,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.436,1
"Anthelmintics","Anthelmintics",0.437,1
"Insecticides","Insecticides",0.437,1
"Narcotic Antagonists","Narcotic Antagonists",0.451,1
"Antiemetics","Antiemetics",0.469,1
"Antiparasitic Agents","Antiparasitic Agents",0.471,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.473,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.528,1
"Anticestodal Agents","Anticestodal Agents",0.536,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.537,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.547,1
"Antidepressive Agents","Antidepressive Agents",0.55,1
"Anticonvulsants","Anticonvulsants",0.554,1
"Intercalating Agents","Intercalating Agents",0.579,1
"Vasodilator Agents","Vasodilator Agents",0.579,1
"Anti-Infective Agents","Anti-Infective Agents",0.582,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.59,1
"Nasal Decongestants","Nasal Decongestants",0.59,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.59,1
"Antinematodal Agents","Antinematodal Agents",0.591,1
"Myeloablative Agonists","Myeloablative Agonists",0.592,1
"Immunologic Factors","Immunologic Factors",0.631,1
"Protease Inhibitors","Protease Inhibitors",0.631,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.645,1
"Antineoplastic Agents","Antineoplastic Agents",0.649,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.652,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.661,1
"Coccidiostats","Coccidiostats",0.67,1
"Alkylating Agents","Alkylating Agents",0.681,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.681,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.683,1
"Coloring Agents","Coloring Agents",0.688,1
"Progestins","Progestins",0.699,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.733,1
"Trypanocidal Agents","Trypanocidal Agents",0.739,1
"Diuretics","Diuretics",0.753,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.753,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.769,1
"Antioxidants","Antioxidants",0.772,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.773,1
"Dopamine Antagonists","Dopamine Antagonists",0.783,1
"Teratogens","Teratogens",0.785,1
"Tubulin Modulators","Tubulin Modulators",0.802,1
"Bronchodilator Agents","Bronchodilator Agents",0.806,1
"Antimalarials","Antimalarials",0.807,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.81,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.81,1
"Antipsychotic Agents","Antipsychotic Agents",0.824,1
"Antimetabolites","Antimetabolites",0.826,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.826,1
"Antihypertensive Agents","Antihypertensive Agents",0.85,1
"Keratolytic Agents","Keratolytic Agents",0.852,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.861,1
"Anti-HIV Agents","Anti-HIV Agents",0.864,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.881,1
"Antirheumatic Agents","Antirheumatic Agents",0.881,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.9,1
"Antipruritics","Antipruritics",0.9,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.9,1
"GABA Antagonists","GABA Antagonists",0.92,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.921,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.933,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.938,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.946,1
"Urological Agents","Urological Agents",0.946,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.956,1
"Sympathomimetics","Sympathomimetics",0.956,1
"Tocolytic Agents","Tocolytic Agents",0.956,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.987,1
"Nootropic Agents","Nootropic Agents",0.987,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.993,1
