"","target","p","padj"
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.587,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.597,1
"Adrenergic Agents","Adrenergic Agents",0.628,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.637,1
"Neuroprotective Agents","Neuroprotective Agents",0.637,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.639,1
"Anti-Infective Agents, Urinary","Anti-Infective Agents, Urinary",0.643,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.645,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.663,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.673,1
"Dermatologic Agents","Dermatologic Agents",0.676,1
"Diuretics","Diuretics",0.68,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.691,1
"Dopamine Antagonists","Dopamine Antagonists",0.693,1
"Antipsychotic Agents","Antipsychotic Agents",0.695,1
"Coloring Agents","Coloring Agents",0.696,1
"Schistosomicides","Schistosomicides",0.704,1
"Antimetabolites","Antimetabolites",0.71,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.71,1
"GABA Antagonists","GABA Antagonists",0.711,1
"Androgen Antagonists","Androgen Antagonists",0.717,1
"Hormone Antagonists","Hormone Antagonists",0.722,1
"Antidiarrheals","Antidiarrheals",0.742,1
"Indicators and Reagents","Indicators and Reagents",0.75,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.76,1
"Angiotensin II Type 1 Receptor Blockers","Angiotensin II Type 1 Receptor Blockers",0.761,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.762,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.766,1
"Mineralocorticoid Receptor Antagonists","Mineralocorticoid Receptor Antagonists",0.768,1
"Adrenergic alpha-2 Receptor Antagonists","Adrenergic alpha-2 Receptor Antagonists",0.769,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.777,1
"Serotonin Antagonists","Serotonin Antagonists",0.785,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.79,1
"Anticestodal Agents","Anticestodal Agents",0.791,1
"Uncoupling Agents","Uncoupling Agents",0.794,1
"Progestins","Progestins",0.799,1
"Angiogenesis Inhibitors","Angiogenesis Inhibitors",0.8,1
"Alkylating Agents","Alkylating Agents",0.808,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.815,1
"Vitamins","Vitamins",0.825,1
"Antinematodal Agents","Antinematodal Agents",0.836,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.837,1
"Estrogen Antagonists","Estrogen Antagonists",0.839,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.851,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.858,1
"Phytoestrogens","Phytoestrogens",0.865,1
"Glycoside Hydrolase Inhibitors","Glycoside Hydrolase Inhibitors",0.866,1
"Fatty Acid Synthesis Inhibitors","Fatty Acid Synthesis Inhibitors",0.868,1
"Photosensitizing Agents","Photosensitizing Agents",0.87,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.871,1
"Cytochrome P-450 CYP2C19 Inhibitors","Cytochrome P-450 CYP2C19 Inhibitors",0.872,1
"Nicotinic Agonists","Nicotinic Agonists",0.878,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.885,1
"Miotics","Miotics",0.896,1
"Proton Ionophores","Proton Ionophores",0.899,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.901,1
"Antirheumatic Agents","Antirheumatic Agents",0.906,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.922,1
"Sodium Potassium Chloride Symporter Inhibitors","Sodium Potassium Chloride Symporter Inhibitors",0.922,1
"Mutagens","Mutagens",0.933,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.936,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.953,1
"Intercalating Agents","Intercalating Agents",0.956,1
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.96,1
"Antibiotics, Antitubercular","Antibiotics, Antitubercular",0.962,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.971,1
"Antithyroid Agents","Antithyroid Agents",0.973,1
"Antineoplastic Agents","Antineoplastic Agents",0.977,1
"Cathartics","Cathartics",0.982,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.986,1
"Antiparasitic Agents","Antiparasitic Agents",0.987,1
"Detergents","Detergents",0.989,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.991,1
"Tubulin Modulators","Tubulin Modulators",0.991,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.992,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.996,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.996,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.997,1
"Emetics","Emetics",0.997,1
"Antifungal Agents","Antifungal Agents",0.998,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.999,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.999,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",1,1
"Glucocorticoids","Glucocorticoids",1,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",1,1
"Trypanocidal Agents","Trypanocidal Agents",1,1
