"","target","p","padj"
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.904,1
"Trypanocidal Agents","Trypanocidal Agents",0.905,1
"Antiparasitic Agents","Antiparasitic Agents",0.913,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.917,1
"Cardiovascular Agents","Cardiovascular Agents",0.92,1
"Antipsychotic Agents","Antipsychotic Agents",0.963,1
"Dopamine Antagonists","Dopamine Antagonists",0.967,1
"Antipruritics","Antipruritics",0.978,1
"Vasodilator Agents","Vasodilator Agents",0.978,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.986,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.994,1
