"log2FoldChange","AveExpr","t","pvalue","padj","identifier","value","up_down","gene","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other"
-18.0260822028262,0.346079071982865,-8.08980847240041,2.53356575389784e-15,8.17359981779366e-13,"ENSG00000068078",-18.0260822028262,"down","FGFR3",9606,2261,"NULL","4","4p16.3","fibroblast growth factor receptor 3","protein-coding","FGFR3","fibroblast growth factor receptor 3","O","FGFR-3|fibroblast growth factor receptor"
-17.9202995077608,-2.57453197219137,-5.66863638730132,1.27961919327534e-08,5.06529014712318e-07,"ENSG00000166535",-17.9202995077608,"down","A2ML1",9606,144568,"NULL","12","12p13.31","alpha-2-macroglobulin-like 1","protein-coding","A2ML1","alpha-2-macroglobulin-like 1","O","C3 and PZP-like, alpha-2-macroglobulin d"
-17.9085384010836,-4.14652149862142,-4.91278164938043,6.51659913092307e-07,1.42169828377002e-05,"ENSG00000169035",-17.9085384010836,"down","KLK7",9606,5650,"NULL","19","19q13.41","kallikrein-related peptidase 7","protein-coding","KLK7","kallikrein-related peptidase 7","O","kallikrein 7 (chymotryptic, stratum corn"
-17.8205368806077,-4.16716646088109,-5.60662322159667,1.79502401225921e-08,6.81290804888203e-07,"ENSG00000170423",-17.8205368806077,"down","KRT78",9606,196374,"NULL","12","12q13.13","keratin 78","protein-coding","KRT78","keratin 78","O","CK-78|K78|cytokeratin-78|keratin 5b|kera"
-17.8008098449371,-0.336851289552122,-5.93864621193127,2.82551574779377e-09,1.38638281244885e-07,"ENSG00000133710",-17.8008098449371,"down","SPINK5",9606,11005,"NULL","5","5q32","serine peptidase inhibitor, Kazal type 5","protein-coding","SPINK5","serine peptidase inhibitor, Kazal type 5","O","lympho-epithelial Kazal-type-related inh"
-17.6241262824385,-0.212562802034292,-4.66922962633184,2.09846130156813e-06,3.80866299101069e-05,"ENSG00000175793",-17.6241262824385,"down","SFN",9606,2810,"NULL","1","1p36.11","stratifin","protein-coding","SFN","stratifin","O","14-3-3 protein sigma|14-3-3 sigma|epithe"
-17.6233005133862,-2.57036580407568,-11.2362307287657,1.97350582635844e-26,8.48903531208084e-23,"ENSG00000091128",-17.6233005133862,"down","LAMB4",9606,22798,"NULL","7","7q31","laminin, beta 4","protein-coding","LAMB4","laminin, beta 4","O","laminin beta-1-related protein|laminin s"
-17.5968016858946,-4.5749850571779,-5.30875918775945,8.76352286909012e-08,2.67033957176325e-06,"ENSG00000125998",-17.5968016858946,"down","FAM83C",9606,128876,"NULL","20","20q11.22","family with sequence similarity 83, member C","protein-coding","FAM83C","family with sequence similarity 83, member C","O","protein FAM83C"
-17.4894563077921,0.105557041691464,-6.58176908488223,6.21439536873506e-11,5.27589901551589e-09,"ENSG00000184292",-17.4894563077921,"down","TACSTD2",9606,4070,"NULL","1","1p32","tumor-associated calcium signal transducer 2","protein-coding","TACSTD2","tumor-associated calcium signal transducer 2","O","40kD glycoprotein, identified by monoclo"
-17.3293069033585,-1.56742342461292,-5.41512381472937,5.00388193759354e-08,1.64726006284887e-06,"ENSG00000189334",-17.3293069033585,"down","S100A14",9606,57402,"NULL","1","1q21.3","S100 calcium binding protein A14","protein-coding","S100A14","S100 calcium binding protein A14","O","S100 calcium-binding protein A14|S114|br"
-17.3121596363137,0.0355759647723631,-6.24950466722876,4.63497311131058e-10,2.99809576515826e-08,"ENSG00000167767",-17.3121596363137,"down","KRT80",9606,144501,"NULL","12","12q13.13","keratin 80","protein-coding","KRT80","keratin 80","O","CK-80|K80|cytokeratin-80|keratin b20|ker"
-17.278962579248,-3.03801132705766,-6.10113393038289,1.10726778135327e-09,6.28076355361462e-08,"ENSG00000166396",-17.278962579248,"down","SERPINB7",9606,8710,"NULL","18","18q21.33","serpin peptidase inhibitor, clade B (ovalbumin), member 7","protein-coding","SERPINB7","serpin peptidase inhibitor, clade B (ovalbumin), member 7","O","mesangium predominant gene, megsin|serin"
-17.236647033829,-5.16867622107236,-6.48808805695562,1.1036920322586e-10,8.32900223993047e-09,"ENSG00000166869",-17.236647033829,"down","CHP2",9606,63928,"NULL","16","16p12.2","calcineurin-like EF-hand protein 2","protein-coding","CHP2","calcineurin-like EF-hand protein 2","O","calcineurin B homologous protein 2|calci"
-17.2072175698061,-4.21961016280292,-4.53757008587578,3.8607185250584e-06,6.24710247104905e-05,"ENSG00000167754",-17.2072175698061,"down","KLK5",9606,25818,"UNQ570/PRO1132","19","19q13.33","kallikrein-related peptidase 5","protein-coding","KLK5","kallikrein-related peptidase 5","O","kallikrein 5|kallikrein-5|kallikrein-lik"
-17.1796850874085,5.38254419515352,-4.74952843412634,1.42693527285166e-06,2.74016164114795e-05,"ENSG00000112378",-17.1796850874085,"down","PERP",9606,64065,"NULL","6","6q24","PERP, TP53 apoptosis effector","protein-coding","PERP","PERP, TP53 apoptosis effector","O","1110017A08Rik|KCP-1|keratinocyte-associa"
-17.1681649285486,-5.25163411184079,-5.36961326415065,6.35558017932421e-08,2.0151249244248e-06,"ENSG00000197084",-17.1681649285486,"down","LCE1C",9606,353133,"NULL","1","1q21.3","late cornified envelope 1C","protein-coding","LCE1C","late cornified envelope 1C","O","late cornified envelope protein 1C|late "
-17.0805490688215,-5.76944807599064,-5.31956511960446,8.25596844340916e-08,2.53363007795419e-06,"ENSG00000187180",-17.0805490688215,"down","LCE2C",9606,353140,"NULL","1","1q21.3","late cornified envelope 2C","protein-coding","LCE2C","late cornified envelope 2C","O","late cornified envelope protein 2C|late "
-17.0273364555224,-4.50229230638117,-6.22087983832528,5.48596559886749e-10,3.44494613482168e-08,"ENSG00000153294",-17.0273364555224,"down","ADGRF4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-17.0205146591565,-5.15621248049705,-5.58593481407352,2.00044236234076e-08,7.43939725211132e-07,"ENSG00000109101",-17.0205146591565,"down","FOXN1",9606,8456,"NULL","17","17q11-q12","forkhead box N1","protein-coding","FOXN1","forkhead box N1","O","Rowett nude|forkhead box protein N1|wing"
-16.9423526566336,-2.05803336385437,-6.77530602697051,1.85551051377376e-11,1.87065901757762e-09,"ENSG00000156463",-16.9423526566336,"down","SH3RF2",9606,153769,"NULL","5","5q32","SH3 domain containing ring finger 2","protein-coding","SH3RF2","SH3 domain containing ring finger 2","O","POSH-eliminating RING protein|RING finge"
-16.9264177134364,-2.8809821560467,-4.57141867459571,3.29117091971195e-06,5.47658480121506e-05,"ENSG00000134757",-16.9264177134364,"down","DSG3",9606,1830,"NULL","18","18q12.1","desmoglein 3","protein-coding","DSG3","desmoglein 3","O","130 kDa pemphigus vulgaris antigen|130-k"
-16.8664591230454,-3.82187196200437,-7.01919503519019,3.89713491179412e-12,4.95473669647756e-10,"ENSG00000137709",-16.8664591230454,"down","POU2F3",9606,25833,"NULL","11","11q23.3","POU class 2 homeobox 3","protein-coding","POU2F3","POU class 2 homeobox 3","O","POU domain transcription factor OCT11a|P"
-16.860534703027,-4.81361647668176,-5.23975571529884,1.24720697696142e-07,3.59655473389913e-06,"ENSG00000172551",-16.860534703027,"down","MUCL1",9606,118430,"UNQ590/PRO1160","12","12q","mucin-like 1","protein-coding","MUCL1","mucin-like 1","O","mucin-like protein 1|small breast epithe"
-16.8414497931626,-3.94671838872279,-7.63641741307032,6.23086340566709e-14,1.31813404620379e-11,"ENSG00000186204",-16.8414497931626,"down","CYP4F12",9606,66002,"UNQ568/PRO1129","19","19p13.1","cytochrome P450, family 4, subfamily F, polypeptide 12","protein-coding","CYP4F12","cytochrome P450, family 4, subfamily F, polypeptide 12","O","CYPIVF12|cytochrome P450 4F12|cytochrome"
-16.8281846377459,-1.76295220515438,-5.14568261823993,2.01826150899293e-07,5.29901437289915e-06,"ENSG00000196616",-16.8281846377459,"down","ADH1B",9606,125,"NULL","4","4q23","alcohol dehydrogenase 1B (class I), beta polypeptide","protein-coding","ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide","O","ADH, beta subunit|alcohol dehydrogenase "
-16.7637476923933,-4.23529915671088,-7.17271982838924,1.4278942024501e-12,2.05880008218071e-10,"ENSG00000149043",-16.7637476923933,"down","SYT8",9606,90019,"NULL","11","11p15.5","synaptotagmin VIII","protein-coding","SYT8","synaptotagmin VIII","O","synaptotagmin 8|synaptotagmin-8|sytVIII"
-16.7289876568275,-6.48836204231853,-11.033273827895,1.19994614014501e-25,3.44104554788916e-22,"ENSG00000186526",-16.7289876568275,"down","CYP4F8",9606,11283,"NULL","19","19p13.1","cytochrome P450, family 4, subfamily F, polypeptide 8","protein-coding","CYP4F8","cytochrome P450, family 4, subfamily F, polypeptide 8","O","cytochrome P450 4F8|cytochrome P450, sub"
-16.6783694487839,-3.4830901977305,-3.95399593636987,4.9461066283858e-05,0.000535012849840776,"ENSG00000178363",-16.6783694487839,"down","CALML3",9606,810,"NULL","10","10p15.1","calmodulin-like 3","protein-coding","CALML3","calmodulin-like 3","O","caM-like protein|calmodulin-like protein"
-16.67576095818,-2.34140782350572,-6.21389055766534,5.71193026393536e-10,3.56947235307283e-08,"ENSG00000133477",-16.67576095818,"down","FAM83F",9606,113828,"RP3-496C20.4","22","22q13.1","family with sequence similarity 83, member F","protein-coding","FAM83F","family with sequence similarity 83, member F","O","protein FAM83F"
-16.6444450734456,-2.65931199066961,-6.20710917832068,5.94443042857937e-10,3.67913201273873e-08,"ENSG00000144452",-16.6444450734456,"down","ABCA12",9606,26154,"NULL","2","2q34","ATP-binding cassette, sub-family A (ABC1), member 12","protein-coding","ABCA12","ATP-binding cassette, sub-family A (ABC1), member 12","O","ATP-binding cassette sub-family A member"
-16.6196051168142,-5.25478650637128,-6.93347514286433,6.77521774294024e-12,7.89213612888602e-10,"ENSG00000166828",-16.6196051168142,"down","SCNN1G",9606,6340,"NULL","16","16p12","sodium channel, non-voltage-gated 1, gamma subunit","protein-coding","SCNN1G","sodium channel, non-voltage-gated 1, gamma subunit","O","ENaC gamma subunit|amiloride-sensitive e"
-16.6024675590849,-2.79691901812731,-5.92508484360095,3.03905061546974e-09,1.46607209971325e-07,"ENSG00000188910",-16.6024675590849,"down","GJB3",9606,2707,"NULL","1","1p34","gap junction protein, beta 3, 31kDa","protein-coding","GJB3","gap junction protein, beta 3, 31kDa","O","connexin 31|connexin-31|gap junction bet"
-16.6011029861707,-2.04829457268569,-7.85818578273479,1.32293812893182e-14,3.44838191729687e-12,"ENSG00000163141",-16.6011029861707,"down","BNIPL",9606,149428,"RP11-316M1.7","1","1q21.3","BCL2/adenovirus E1B 19kD interacting protein like","protein-coding","BNIPL","BCL2/adenovirus E1B 19kD interacting protein like","O","BNIP-2 similar|bcl-2/adenovirus E1B 19 k"
