"","target","p","padj"
"Anthelmintics","Anthelmintics",0.138,1
"Contraceptive Agents","Contraceptive Agents",0.143,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.148,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.148,1
"Immunologic Factors","Immunologic Factors",0.151,1
"Anticoagulants","Anticoagulants",0.16,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.161,1
"Histamine Antagonists","Histamine Antagonists",0.162,1
"Parasympatholytics","Parasympatholytics",0.163,1
"Vasodilator Agents","Vasodilator Agents",0.164,1
"Gout Suppressants","Gout Suppressants",0.168,1
"Dopamine Uptake Inhibitors","Dopamine Uptake Inhibitors",0.172,1
"Schistosomicides","Schistosomicides",0.173,1
"Lipoxygenase Inhibitors","Lipoxygenase Inhibitors",0.178,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.184,1
"Neuromuscular Nondepolarizing Agents","Neuromuscular Nondepolarizing Agents",0.186,1
"Antidiarrheals","Antidiarrheals",0.191,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.196,1
"Cholinergic Antagonists","Cholinergic Antagonists",0.207,1
"Neurotransmitter Uptake Inhibitors","Neurotransmitter Uptake Inhibitors",0.211,1
"Amebicides","Amebicides",0.216,1
"Angiogenesis Inhibitors","Angiogenesis Inhibitors",0.22,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.222,1
"Cardiovascular Agents","Cardiovascular Agents",0.242,1
"GABA Antagonists","GABA Antagonists",0.243,1
"Parasympathomimetics","Parasympathomimetics",0.243,1
"Monoamine Oxidase Inhibitors","Monoamine Oxidase Inhibitors",0.244,1
"Mydriatics","Mydriatics",0.246,1
"Carbonic Anhydrase Inhibitors","Carbonic Anhydrase Inhibitors",0.248,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.252,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.252,1
"Purinergic P1 Receptor Antagonists","Purinergic P1 Receptor Antagonists",0.253,1
"Antidepressive Agents","Antidepressive Agents",0.257,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.27,1
"Sympathomimetics","Sympathomimetics",0.271,1
"Anesthetics, Intravenous","Anesthetics, Intravenous",0.273,1
"Androgen Antagonists","Androgen Antagonists",0.28,1
"Anti-Infective Agents, Urinary","Anti-Infective Agents, Urinary",0.283,1
"Antitubercular Agents","Antitubercular Agents",0.293,1
"Cholagogues and Choleretics","Cholagogues and Choleretics",0.295,1
"Cyclooxygenase 2 Inhibitors","Cyclooxygenase 2 Inhibitors",0.298,1
"Sympatholytics","Sympatholytics",0.303,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.304,1
"GABA Modulators","GABA Modulators",0.307,1
"Contrast Media","Contrast Media",0.327,1
"Hypnotics and Sedatives","Hypnotics and Sedatives",0.341,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.344,1
"Androgens","Androgens",0.346,1
"Carcinogens","Carcinogens",0.354,1
"Hypolipidemic Agents","Hypolipidemic Agents",0.355,1
"Urological Agents","Urological Agents",0.355,1
"Adrenergic beta-1 Receptor Antagonists","Adrenergic beta-1 Receptor Antagonists",0.361,1
"Adjuvants, Anesthesia","Adjuvants, Anesthesia",0.369,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.372,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.374,1
"Adrenergic alpha-Agonists","Adrenergic alpha-Agonists",0.376,1
"Plant Growth Regulators","Plant Growth Regulators",0.384,1
"Folic Acid Antagonists","Folic Acid Antagonists",0.385,1
"Cannabinoid Receptor Agonists","Cannabinoid Receptor Agonists",0.386,1
"Expectorants","Expectorants",0.397,1
"Nicotinic Agonists","Nicotinic Agonists",0.403,1
"Neuroprotective Agents","Neuroprotective Agents",0.404,1
"Adrenergic beta-Agonists","Adrenergic beta-Agonists",0.416,1
"Teratogens","Teratogens",0.42,1
"Keratolytic Agents","Keratolytic Agents",0.424,1
"Catechol O-Methyltransferase Inhibitors","Catechol O-Methyltransferase Inhibitors",0.428,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.434,1
"Cyclooxygenase Inhibitors","Cyclooxygenase Inhibitors",0.451,1
"Myeloablative Agonists","Myeloablative Agonists",0.451,1
"Vitamins","Vitamins",0.455,1
"Anabolic Agents","Anabolic Agents",0.466,1
"Nasal Decongestants","Nasal Decongestants",0.468,1
"Proton Pump Inhibitors","Proton Pump Inhibitors",0.472,1
"Antimetabolites","Antimetabolites",0.474,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.477,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.49,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.511,1
"Glucocorticoids","Glucocorticoids",0.511,1
"Tocolytic Agents","Tocolytic Agents",0.512,1
"Dopamine Agonists","Dopamine Agonists",0.524,1
"Progestins","Progestins",0.524,1
"Miotics","Miotics",0.529,1
"Chelating Agents","Chelating Agents",0.547,1
"Sodium Potassium Chloride Symporter Inhibitors","Sodium Potassium Chloride Symporter Inhibitors",0.548,1
"Dopamine D2 Receptor Antagonists","Dopamine D2 Receptor Antagonists",0.55,1
"Antinematodal Agents","Antinematodal Agents",0.552,1
"Angiotensin II Type 1 Receptor Blockers","Angiotensin II Type 1 Receptor Blockers",0.559,1
"Tubulin Modulators","Tubulin Modulators",0.561,1
"Respiratory System Agents","Respiratory System Agents",0.564,1
"Antirheumatic Agents","Antirheumatic Agents",0.566,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.582,1
"Antithyroid Agents","Antithyroid Agents",0.584,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.586,1
"Vitamin B Complex","Vitamin B Complex",0.589,1
"Alkylating Agents","Alkylating Agents",0.59,1
"Serotonin Uptake Inhibitors","Serotonin Uptake Inhibitors",0.592,1
"Calcium Channel Agonists","Calcium Channel Agonists",0.6,1
"Analgesics, Opioid","Analgesics, Opioid",0.607,1
"Narcotics","Narcotics",0.607,1
"Nootropic Agents","Nootropic Agents",0.609,1
"Glycoside Hydrolase Inhibitors","Glycoside Hydrolase Inhibitors",0.612,1
"Estrogens","Estrogens",0.618,1
"Estrogen Antagonists","Estrogen Antagonists",0.624,1
"Radiation-Protective Agents","Radiation-Protective Agents",0.63,1
"Antipsychotic Agents","Antipsychotic Agents",0.631,1
"Coccidiostats","Coccidiostats",0.634,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.635,1
"Estrogens, Non-Steroidal","Estrogens, Non-Steroidal",0.636,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.649,1
"Narcotic Antagonists","Narcotic Antagonists",0.656,1
"Cathartics","Cathartics",0.658,1
"Hormone Antagonists","Hormone Antagonists",0.671,1
"Adrenergic Agents","Adrenergic Agents",0.677,1
"Antibiotics, Antitubercular","Antibiotics, Antitubercular",0.679,1
"Mineralocorticoid Receptor Antagonists","Mineralocorticoid Receptor Antagonists",0.694,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.697,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.697,1
"Bronchodilator Agents","Bronchodilator Agents",0.699,1
"Mutagens","Mutagens",0.708,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.714,1
"Phytoestrogens","Phytoestrogens",0.725,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.732,1
"Convulsants","Convulsants",0.737,1
"Adrenergic alpha-2 Receptor Antagonists","Adrenergic alpha-2 Receptor Antagonists",0.74,1
"Antidotes","Antidotes",0.762,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.771,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.776,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.79,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.795,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.799,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.806,1
"Oxytocics","Oxytocics",0.807,1
"Histamine H3 Antagonists","Histamine H3 Antagonists",0.809,1
"Cytochrome P-450 CYP2C19 Inhibitors","Cytochrome P-450 CYP2C19 Inhibitors",0.813,1
"Dopamine Antagonists","Dopamine Antagonists",0.827,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.836,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.847,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.861,1
"Adrenergic beta-1 Receptor Agonists","Adrenergic beta-1 Receptor Agonists",0.863,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.864,1
"Antioxidants","Antioxidants",0.865,1
"Antiparasitic Agents","Antiparasitic Agents",0.868,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.872,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.882,1
"Analgesics","Analgesics",0.884,1
"Trypanocidal Agents","Trypanocidal Agents",0.886,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.89,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.893,1
"Antipruritics","Antipruritics",0.894,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.895,1
"Detergents","Detergents",0.898,1
"Anticestodal Agents","Anticestodal Agents",0.899,1
"Antiviral Agents","Antiviral Agents",0.904,1
"14-alpha Demethylase Inhibitors","14-alpha Demethylase Inhibitors",0.907,1
"Coloring Agents","Coloring Agents",0.912,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.925,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.934,1
"Cardiotonic Agents","Cardiotonic Agents",0.935,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.941,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.95,1
"Emetics","Emetics",0.952,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.952,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.955,1
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.957,1
"Dermatologic Agents","Dermatologic Agents",0.958,1
"Free Radical Scavengers","Free Radical Scavengers",0.96,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.963,1
"Abortifacient Agents, Nonsteroidal","Abortifacient Agents, Nonsteroidal",0.964,1
"Proton Ionophores","Proton Ionophores",0.966,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.976,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.977,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.99,1
"Antineoplastic Agents","Antineoplastic Agents",0.991,1
"Fatty Acid Synthesis Inhibitors","Fatty Acid Synthesis Inhibitors",0.992,1
"Intercalating Agents","Intercalating Agents",0.993,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.995,1
"Antifungal Agents","Antifungal Agents",0.997,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.999,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",1,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",1,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",1,1
