"","target","p","padj"
"Antimetabolites","Antimetabolites",0.538,1
"Purinergic P1 Receptor Antagonists","Purinergic P1 Receptor Antagonists",0.542,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.544,1
"Adrenergic alpha-2 Receptor Antagonists","Adrenergic alpha-2 Receptor Antagonists",0.55,1
"Progestins","Progestins",0.568,1
"Antirheumatic Agents","Antirheumatic Agents",0.574,1
"Keratolytic Agents","Keratolytic Agents",0.574,1
"Antioxidants","Antioxidants",0.58,1
"Alkylating Agents","Alkylating Agents",0.588,1
"Anabolic Agents","Anabolic Agents",0.588,1
"Angiotensin II Type 1 Receptor Blockers","Angiotensin II Type 1 Receptor Blockers",0.589,1
"Androgens","Androgens",0.594,1
"Antipsychotic Agents","Antipsychotic Agents",0.597,1
"Dopamine Agonists","Dopamine Agonists",0.609,1
"Respiratory System Agents","Respiratory System Agents",0.614,1
"Estrogens, Non-Steroidal","Estrogens, Non-Steroidal",0.621,1
"Proton Pump Inhibitors","Proton Pump Inhibitors",0.629,1
"Histamine H3 Antagonists","Histamine H3 Antagonists",0.632,1
"Antithyroid Agents","Antithyroid Agents",0.64,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.649,1
"Androgen Antagonists","Androgen Antagonists",0.655,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.661,1
"Calcium Channel Agonists","Calcium Channel Agonists",0.676,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.677,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.682,1
"Dopamine Antagonists","Dopamine Antagonists",0.682,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.683,1
"Coccidiostats","Coccidiostats",0.689,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.689,1
"Hormone Antagonists","Hormone Antagonists",0.691,1
"Oxytocics","Oxytocics",0.695,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.7,1
"Mutagens","Mutagens",0.703,1
"Nootropic Agents","Nootropic Agents",0.715,1
"Analgesics, Opioid","Analgesics, Opioid",0.72,1
"Narcotics","Narcotics",0.72,1
"Glycoside Hydrolase Inhibitors","Glycoside Hydrolase Inhibitors",0.728,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.734,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.742,1
"Phytoestrogens","Phytoestrogens",0.742,1
"Bronchodilator Agents","Bronchodilator Agents",0.743,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.744,1
"Cathartics","Cathartics",0.758,1
"Narcotic Antagonists","Narcotic Antagonists",0.765,1
"Radiation-Protective Agents","Radiation-Protective Agents",0.767,1
"Antibiotics, Antitubercular","Antibiotics, Antitubercular",0.801,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.807,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.821,1
"Chelating Agents","Chelating Agents",0.836,1
"Adrenergic beta-1 Receptor Agonists","Adrenergic beta-1 Receptor Agonists",0.837,1
"Antiviral Agents","Antiviral Agents",0.843,1
"Cytochrome P-450 CYP2C19 Inhibitors","Cytochrome P-450 CYP2C19 Inhibitors",0.85,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.865,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.868,1
"Free Radical Scavengers","Free Radical Scavengers",0.871,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.881,1
"Trypanocidal Agents","Trypanocidal Agents",0.881,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.884,1
"Antidotes","Antidotes",0.886,1
"Glucocorticoids","Glucocorticoids",0.897,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.899,1
"Estrogen Antagonists","Estrogen Antagonists",0.901,1
"Antiparasitic Agents","Antiparasitic Agents",0.903,1
"Tubulin Modulators","Tubulin Modulators",0.904,1
"14-alpha Demethylase Inhibitors","14-alpha Demethylase Inhibitors",0.906,1
"Anticestodal Agents","Anticestodal Agents",0.909,1
"Detergents","Detergents",0.909,1
"Analgesics","Analgesics",0.911,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.912,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.915,1
"Coloring Agents","Coloring Agents",0.916,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.928,1
"Fatty Acid Synthesis Inhibitors","Fatty Acid Synthesis Inhibitors",0.941,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.947,1
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.948,1
"Emetics","Emetics",0.95,1
"Antipruritics","Antipruritics",0.951,1
"Abortifacient Agents, Nonsteroidal","Abortifacient Agents, Nonsteroidal",0.956,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.957,1
"Cardiotonic Agents","Cardiotonic Agents",0.964,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.965,1
"Intercalating Agents","Intercalating Agents",0.965,1
"Proton Ionophores","Proton Ionophores",0.965,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.966,1
"Dermatologic Agents","Dermatologic Agents",0.972,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.982,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.987,1
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0.989,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.993,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.994,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.996,1
"Antineoplastic Agents","Antineoplastic Agents",0.998,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.999,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",1,1
"Antifungal Agents","Antifungal Agents",1,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",1,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",1,1
