"","log2FoldChange","logCPM","LR","pvalue","padj","Symbol","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other","value","up_down"
"50279",-3.38075558928956,-4.09370690214272,35.5072705528319,2.54100348133604e-09,0.000143548909671117,"RP11-805F19.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.38075558928956,"down"
"21169",-3.35123260612051,-0.0721002185079485,33.19414479129,8.34012875067391e-09,0.000468756936431627,"LRRC74B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.35123260612051,"down"
"15107",-3.34785218166847,0.976177669341225,31.9914346645221,1.54853861341208e-08,0.000868017834362006,"CLIC6",9606,54102,"NULL","21","21q22.12","chloride intracellular channel 6","protein-coding","CLIC6","chloride intracellular channel 6","O","chloride channel form A|chloride intrace",-3.34785218166847,"down"
"43468",-3.31402204600954,-3.75191447155923,35.1963396132534,2.98083295527185e-09,0.000168265039492141,"RP11-554I8.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.31402204600954,"down"
"54303",-3.30576889025147,-2.25345981845752,34.5487097155665,4.15717018349089e-09,0.000234364626264483,"VSIG8",9606,391123,"RP11-190A12.5","1","1q23.2","V-set and immunoglobulin domain containing 8","protein-coding","VSIG8","V-set and immunoglobulin domain containing 8","O","V-set and immunoglobulin domain-containi",-3.30576889025147,"down"
"48503",-3.26313045215924,-3.96367485652612,33.749617843749,6.26813560331829e-09,0.000352776939890357,"RP11-540N6.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.26313045215924,"down"
"46729",-3.26219434412722,-3.28571649261646,34.4884680985376,4.28784179195766e-09,0.00024167562692011,"GGT2",9606,728441,"NULL","22","22q11.21","gamma-glutamyltransferase 2","protein-coding","GGT2","gamma-glutamyltransferase 2","O","gamma-glutamyltranspeptidase 2|glutathio",-3.26219434412722,"down"
"27417",-3.26145402193171,-0.385311909574865,31.7548710730571,1.74910032193168e-08,0.000979776036333252,"LINC01299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.26145402193171,"down"
"27069",-3.18209454086721,-0.371284270896083,34.5403352762581,4.17509393006798e-09,0.000235366745213652,"RP11-203H19.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.18209454086721,"down"
"31292",-3.15465399062554,-4.09687775290963,32.7241136239276,1.06211390362957e-08,0.000596260124358605,"RP11-946L20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.15465399062554,"down"
"54973",-3.14472061936508,-4.06221419481597,34.2354024183295,4.88324661952873e-09,0.000275078165324673,"CTA-360L10.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.14472061936508,"down"
"56165",-3.13273763954569,-3.99886398788607,34.1505894475917,5.10077882606883e-09,0.000287280964263023,"CEACAM8",9606,1088,"NULL","19","19q13.2","carcinoembryonic antigen-related cell adhesion molecule 8","protein-coding","CEACAM8","carcinoembryonic antigen-related cell adhesion molecule 8","O","CD67 antigen|carcinoembryonic antigen CG",-3.13273763954569,"down"
"33337",-3.10623273958725,-2.83722293238568,35.5485315183936,2.48774520038112e-09,0.000140560091566734,"CD164L2",9606,388611,"RP1-144C9.1","1","1p36.11","CD164 sialomucin-like 2","protein-coding","CD164L2","CD164 sialomucin-like 2","O","CD164 sialomucin-like 2 protein|EAPG6122",-3.10623273958725,"down"
"23428",-3.0824960323205,-2.75352994870583,32.768584309832,1.03809060501927e-08,0.000582835970188068,"RP11-369E15.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.0824960323205,"down"
"35159",-3.04513343863142,-3.98003427082371,34.040770141054,5.39693049839785e-09,0.000303906553295281,"RP11-133K1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.04513343863142,"down"
"22427",-2.99729240967022,-3.89522934950492,34.3008873507366,4.72166438142747e-09,0.000266009127920861,"CCDC166",9606,100130274,"NULL","8","8q24.3","coiled-coil domain containing 166","protein-coding","CCDC166","coiled-coil domain containing 166","O","coiled-coil domain-containing protein 16",-2.99729240967022,"down"
"29413",-2.98154319916841,-3.15762493936168,34.8678961194165,3.5285127786005e-09,0.000199032820302519,"AC103563.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.98154319916841,"down"
"57686",-2.96198577552509,-3.63900388501756,34.9266237440048,3.42367213924663e-09,0.000193143040063459,"IFNA13",9606,3447,"NULL","9","9p22","interferon, alpha 13","protein-coding","IFNA13","interferon, alpha 13","O","IFN-alpha-1/13|interferon alpha-1/13|int",-2.96198577552509,"down"
"3739",-2.93835583286155,1.59668102262944,35.9295694898917,2.04580296291572e-09,0.000115700386567699,"MYLK3",9606,91807,"NULL","16","16q11.2","myosin light chain kinase 3","protein-coding","MYLK3","myosin light chain kinase 3","O","MLC kinase|cardiac-MLCK|cardiac-MyBP-C a",-2.93835583286155,"down"
"47045",-2.92023488029701,2.18425698094625,34.5899671323087,4.06998588677034e-09,0.000229465804296112,"VIP",9606,7432,"RP4-546K19.1","6","6q25","vasoactive intestinal peptide","protein-coding","VIP","vasoactive intestinal peptide","O","VIP peptides|prepro-VIP",-2.92023488029701,"down"
"36670",-2.90499932394259,-3.65183332416951,32.874089209301,9.83250862903912e-09,0.000552233014641353,"CBLC",9606,23624,"NULL","19","19q13.2","Cbl proto-oncogene, E3 ubiquitin protein ligase C","protein-coding","CBLC","Cbl proto-oncogene, E3 ubiquitin protein ligase C","O","Cas-Br-M (murine) ecotropic retroviral t",-2.90499932394259,"down"
"26370",-2.89852513938681,-3.61027520144738,35.5359290185703,2.50389242729212e-09,0.000141467418249577,"RP11-138H8.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.89852513938681,"down"
"49066",-2.89410545846244,4.79504099365273,35.0639931678766,3.19046007982056e-09,0.000180053614604673,"PRKCG",9606,5582,"NULL","19","19q13.4","protein kinase C, gamma","protein-coding","PRKCG","protein kinase C, gamma","O","protein kinase C gamma type",-2.89410545846244,"down"
"2165",-2.88841393152954,-1.7791770722184,31.866350227548,1.65153593626566e-08,0.000925487707964551,"ARHGAP40",9606,343578,"RP5-1100H13.4","20","20q11.23","Rho GTPase activating protein 40","protein-coding","ARHGAP40","Rho GTPase activating protein 40","O","rho GTPase-activating protein 40|rho-typ",-2.88841393152954,"down"
"40108",-2.87247273007195,-3.64303692187651,31.7150392123435,1.78534309471119e-08,0.000999917107054898,"RPL31P54",9606,100271483,"NULL","13","13q22.3","ribosomal protein L31 pseudogene 54","pseudo","RPL31P54","ribosomal protein L31 pseudogene 54","O","NULL",-2.87247273007195,"down"
"6057",-2.86729745231342,-3.8662784233921,31.8382276418539,1.67562179552223e-08,0.000938901160684971,"RP11-561N12.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.86729745231342,"down"
"2924",-2.85532203450341,-3.83758725699478,34.2266851294177,4.90516987723683e-09,0.00027630821918475,"AC079776.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.85532203450341,"down"
"31923",-2.84086021295029,-1.5960124961187,33.6361984538234,6.64446477221747e-09,0.000373850810408816,"ANKK1",9606,255239,"NULL","11","11q23.2","ankyrin repeat and kinase domain containing 1","protein-coding","ANKK1","ankyrin repeat and kinase domain containing 1","O","X-kinase|ankyrin repeat and protein kina",-2.84086021295029,"down"
"29496",-2.82971633550004,-3.7767711771047,33.9295885345107,5.7143032649674e-09,0.0003217095595144,"RP11-1L9.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.82971633550004,"down"
"41814",-2.81312006104197,-2.02557537768849,35.3824132630336,2.70922149147093e-09,0.000153008702173804,"CTRC",9606,11330,"NULL","1","1p36.21","chymotrypsin C (caldecrin)","protein-coding","CTRC","chymotrypsin C (caldecrin)","O","caldecrin|chymotrypsin-C|elastase 4|elas",-2.81312006104197,"down"
"13582",-2.80528896315679,-0.231473180846283,31.9400589529226,1.59004017963207e-08,0.000891169819478384,"KLHL1",9606,57626,"RP11-394C23.1","13","13q21","kelch-like family member 1","protein-coding","KLHL1","kelch-like family member 1","O","Mayven-related protein 2|kelch-like prot",-2.80528896315679,"down"
"54934",-2.78345346040513,-3.81053125686006,34.7175368423789,3.8118229323676e-09,0.000214952506979141,"CTD-2342N23.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78345346040513,"down"
"53784",-2.77669800011753,-3.05035583670609,34.2914269312005,4.74467256125083e-09,0.000267295873410627,"SIRPB3P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.77669800011753,"down"
"4336",-2.75956916218741,3.74674176553932,35.3879486988063,2.70153272097959e-09,0.000152577165015486,"CD22",9606,933,"NULL","19","19q13.1","CD22 molecule","protein-coding","CD22","CD22 molecule","O","B-cell receptor CD22|B-lymphocyte cell a",-2.75956916218741,"down"
"17637",-2.75038713434665,-2.69080756982086,35.3711155353255,2.72498220745609e-09,0.000153893370166083,"PLA2G4D",9606,283748,"NULL","15","15q15.1","phospholipase A2, group IVD (cytosolic)","protein-coding","PLA2G4D","phospholipase A2, group IVD (cytosolic)","O","cPLA2-delta|cytosolic phospholipase A2 d",-2.75038713434665,"down"
"3050",-2.74512498449189,-3.30688036148983,33.3262724764283,7.79227731228036e-09,0.000438011700000591,"LINC01348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.74512498449189,"down"
"11371",-2.72266435590262,1.21409323262075,33.0099876299562,9.16866569710839e-09,0.00051509563886355,"NPFFR1",9606,64106,"RP11-203J14.1","10","10q21-q22","neuropeptide FF receptor 1","protein-coding","NPFFR1","neuropeptide FF receptor 1","O","G protein-coupled receptor 147|G-protein",-2.72266435590262,"down"
"12782",-2.6954800654393,-0.0400946559992546,33.710403569582,6.39577202861629e-09,0.000359922070910382,"RP11-766N7.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6954800654393,"down"
"23424",-2.68865464185116,-3.57907553334888,34.8411978660944,3.57723172611136e-09,0.000201766601047859,"RP11-481F24.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.68865464185116,"down"
"50681",-2.65218371241093,-1.81337251262181,35.4528241469171,2.61303241654973e-09,0.000147597136048811,"LINC01010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.65218371241093,"down"
"54236",-2.61806175670554,-2.88792514311773,35.1854446710228,2.99755599773869e-09,0.000169206040960354,"RP1-29C18.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61806175670554,"down"
"9493",-2.60590000239409,-2.99737414951363,33.0138214082302,9.1506040291769e-09,0.000514090084963187,"LMOD2",9606,442721,"tcag7.1078","7","7q31.32","leiomodin 2 (cardiac)","protein-coding","LMOD2","leiomodin 2 (cardiac)","O","cardiac leiomodin|leiomodin-2",-2.60590000239409,"down"
"12096",-2.58487142501474,5.11917259383136,35.5489605952738,2.48719727563843e-09,0.000140531620468122,"RIMS1",9606,22999,"RP5-1046G13.1","6","6q12-q13","regulating synaptic membrane exocytosis 1","protein-coding","RIMS1","regulating synaptic membrane exocytosis 1","O","RAB3-interacting protein 2|rab-3-interac",-2.58487142501474,"down"
"21999",-2.58376552776541,-2.03697493296174,33.411420813407,7.45846872221899e-09,0.000419344945438041,"ANKRD1",9606,27063,"NULL","10","10q23.31","ankyrin repeat domain 1 (cardiac muscle)","protein-coding","ANKRD1","ankyrin repeat domain 1 (cardiac muscle)","O","ankyrin repeat domain-containing protein",-2.58376552776541,"down"
"30523",-2.57613206136211,-3.46953367322864,35.1686131255792,3.02357622404774e-09,0.000170671807118823,"CTD-2311M21.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.57613206136211,"down"
"26300",-2.56704119793497,4.75765941939383,31.9943670748651,1.54620280140879e-08,0.0008667239803297,"FXYD7",9606,53822,"NULL","19","19q13.12","FXYD domain containing ion transport regulator 7","protein-coding","FXYD7","FXYD domain containing ion transport regulator 7","O","FXYD domain-containing ion transport reg",-2.56704119793497,"down"
"46056",-2.56061476426653,-2.89788413313429,34.5447788740662,4.16557371634357e-09,0.000234834218258869,"LIPJ",9606,142910,"NULL","10","10q23.31","lipase, family member J","protein-coding","LIPJ","lipase, family member J","O","lipase J|lipase member J|lipase-like abh",-2.56061476426653,"down"
"21638",-2.53575840825364,3.91057064058103,32.261305634747,1.3477062693478e-08,0.000755834107038326,"TRPM3",9606,80036,"RP11-141J10.3","9","9q21.12","transient receptor potential cation channel, subfamily M, member 3","protein-coding","TRPM3","transient receptor potential cation channel, subfamily M, member 3","O","LTrpC-3|long transient receptor potentia",-2.53575840825364,"down"
"30527",-2.53500747996552,2.77349539307971,35.0964308560262,3.13775376545789e-09,0.00017710423578374,"B3GNT7",9606,93010,"NULL","2","2q37.1","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","protein-coding","B3GNT7","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","O","BGnT-7|beta 1,3-N-acetylglucosaminyltran",-2.53500747996552,"down"
"27083",-2.50904834572763,-2.8385493816528,36.0618752877384,1.91150313306513e-09,0.000108152847268825,"PRSS21",9606,10942,"UNQ266/PRO303","16","16p13.3","protease, serine, 21 (testisin)","protein-coding","PRSS21","protease, serine, 21 (testisin)","O","eosinophil serine protease 1|serine prot",-2.50904834572763,"down"
"45840",-2.48466240541825,0.774100676852234,32.6244032522844,1.11802143506755e-08,0.000627534251289065,"DNAI1",9606,27019,"RP11-296L22.2","9","9p13.3","dynein, axonemal, intermediate chain 1","protein-coding","DNAI1","dynein, axonemal, intermediate chain 1","O","axonemal dynein intermediate chain 1|dyn",-2.48466240541825,"down"
"37308",-2.47976163109952,-2.88057441328058,33.6661941668302,6.54279101070212e-09,0.000368162850172209,"RP11-357P18.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.47976163109952,"down"
"16580",-2.47904846778424,-1.72698530428469,34.8192970094774,3.61769891671146e-09,0.000204041836601443,"CTD-2228A4.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.47904846778424,"down"
"51469",-2.45907040190244,-1.77810573796998,33.7221849101127,6.35715443083705e-09,0.000357761579904217,"RP11-662I13.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.45907040190244,"down"
"49561",-2.45042666821119,-3.47511664484075,33.5796596249754,6.84043147857425e-09,0.000384794791964237,"BHLHA9",9606,727857,"NULL","17","17p13.3","basic helix-loop-helix family, member a9","protein-coding","BHLHA9","basic helix-loop-helix family, member a9","O","class A basic helix-loop-helix protein 9",-2.45042666821119,"down"
"7964",-2.4412754656106,-3.48707127216463,33.6534282203132,6.5858707334921e-09,0.0003705671885614,"RP11-615I2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4412754656106,"down"
"42029",-2.43694780437157,3.14576208035006,31.980117121064,1.55758679742327e-08,0.000873058551691694,"NPM2",9606,10361,"NULL","8","8p21.3","nucleophosmin/nucleoplasmin 2","protein-coding","NPM2","nucleophosmin/nucleoplasmin 2","O","nucleoplasmin-2",-2.43694780437157,"down"
"5689",-2.43263029071564,2.09496562202474,35.2781890854313,2.85815056622304e-09,0.000161371180968953,"VAC14-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.43263029071564,"down"
"34583",-2.42847369154583,-3.41214071900245,32.9983334483715,9.22379033546216e-09,0.000518155645884923,"CTB-107G13.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.42847369154583,"down"
"29148",-2.42799745871648,-3.19151480228488,34.9033251964047,3.46488618778446e-09,0.000195464624511485,"RP11-363G10.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.42799745871648,"down"
"52989",-2.42799745871648,-3.19151480228488,34.9033251964047,3.46488618778446e-09,0.000195464624511485,"RP11-114H20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.42799745871648,"down"
"12097",-2.41637786214274,5.52542837475747,35.6152269708908,2.4040103507416e-09,0.000135865048982512,"RIMS2",9606,9699,"NULL","8","8q22.3","regulating synaptic membrane exocytosis 2","protein-coding","RIMS2","regulating synaptic membrane exocytosis 2","O","RAB3 interacting protein 3|RIM 2|non-sma",-2.41637786214274,"down"
"22801",-2.40712841208415,-3.70010603201103,33.0683038833506,8.89774493471373e-09,0.000499919799156891,"CTB-36O1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.40712841208415,"down"
"20329",-2.40641053128966,-3.31420952034502,35.6066664864367,2.41459796645969e-09,0.00013645376028057,"PPEF2",9606,5470,"NULL","4","4q21.1","protein phosphatase, EF-hand calcium binding domain 2","protein-coding","PPEF2","protein phosphatase, EF-hand calcium binding domain 2","O","protein phosphatase 7, catalytic subunit",-2.40641053128966,"down"
"54758",-2.40194117019465,-2.81174258242881,34.4387706969594,4.3987325340423e-09,0.000247890571955954,"AP000344.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.40194117019465,"down"
"34161",-2.3801158686671,-3.51742629067676,33.5191858832346,7.05644819909571e-09,0.000396868759613541,"RP11-467C18.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.3801158686671,"down"
"15049",-2.37273326187508,-2.70569417945908,34.0164305945763,5.46486441682985e-09,0.000307710120718438,"RP11-255E6.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.37273326187508,"down"
"2569",-2.36717890487162,-2.81792137506573,34.9884780581078,3.31662078291983e-09,0.000187137011055469,"AC061992.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.36717890487162,"down"
"14646",-2.35257382981682,5.56062261263331,33.6059415663189,6.74862702383509e-09,0.000379671007733938,"EMX2OS",9606,196047,"NULL","10","10q26.1","EMX2 opposite strand/antisense RNA","miscRNA","EMX2OS","EMX2 opposite strand/antisense RNA","O","NULL",-2.35257382981682,"down"
"18307",-2.33630277288018,-3.06587400559058,31.9281681298347,1.5998033436376e-08,0.00089662578197513,"CTD-2058B24.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.33630277288018,"down"
"28825",-2.32579441322635,-3.41730737752923,34.8470821447491,3.56643655023809e-09,0.000201164853616179,"LINC00443",9606,100874173,"NULL","13","NULL","long intergenic non-protein coding RNA 443","miscRNA","LINC00443","long intergenic non-protein coding RNA 443","O","NULL",-2.32579441322635,"down"
"7232",-2.32414766632519,-0.465710912155577,35.9681364747176,2.00570741872926e-09,0.000113444817310746,"AC005339.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.32414766632519,"down"
"45706",-2.32159977620082,-3.05354042031972,33.0008036086095,9.2120787462085e-09,0.000517516159804501,"RP11-728E14.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.32159977620082,"down"
"45871",-2.32151292109443,-3.40083964134646,31.839958486961,1.67412928731685e-08,0.000938081604855121,"LINC00570",9606,100874055,"NULL","2","NULL","long intergenic non-protein coding RNA 570","miscRNA","LINC00570","long intergenic non-protein coding RNA 570","O","NULL",-2.32151292109443,"down"
"21231",-2.32013095743091,-2.73161811314247,34.0766725425739,5.29826434098922e-09,0.000298377054627149,"CTD-3076O17.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.32013095743091,"down"
"44715",-2.31998629413488,3.98751525828492,32.8689277809558,9.85864906965111e-09,0.000553681449049746,"LPPR3",9606,79948,"NULL","19","19p13.3","lipid phosphate phosphatase-related protein type 3","protein-coding","NULL","NULL","NULL","PAP-2-like protein 2|plasticity-related ",-2.31998629413488,"down"
"45390",-2.31970765376661,0.113409864059623,33.9039713401715,5.79003925173153e-09,0.000325956049715479,"RP11-190A12.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.31970765376661,"down"
"13229",-2.31595810969467,-0.371899521801206,34.3582496958027,4.58452963943907e-09,0.000258319907063834,"DNM1P47",9606,100216544,"NULL","15","15q26.3","DNM1 pseudogene 47","pseudo","DNM1P47","DNM1 pseudogene 47","O","NULL",-2.31595810969467,"down"
"29241",-2.31422785156203,-2.6402200232531,31.8666363121218,1.65129270674885e-08,0.000925367919934986,"ABHD17AP6",9606,644988,"NULL","17","17p11.2","abhydrolase domain containing 17A pseudogene 6","pseudo","ABHD17AP6","abhydrolase domain containing 17A pseudogene 6","O","NULL",-2.31422785156203,"down"
"865",-2.30539055683961,3.81582863206351,32.8978188591317,9.71321844806718e-09,0.000545552627354141,"BEX5",9606,340542,"GHc-351F8.1","X","Xq22.1","brain expressed, X-linked 5","protein-coding","BEX5","brain expressed, X-linked 5","O","BEX family member 5|NGFRAP1-like 1|NGFRA",-2.30539055683961,"down"
"36182",-2.30341845343334,0.790854723079828,32.4590282593051,1.21732104877197e-08,0.00068295362799254,"ADH1B",9606,125,"NULL","4","4q23","alcohol dehydrogenase 1B (class I), beta polypeptide","protein-coding","ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide","O","ADH, beta subunit|alcohol dehydrogenase ",-2.30341845343334,"down"
"17453",-2.292095738347,4.51267369212432,34.311099251119,4.69695394913028e-09,0.000264640476355848,"DOC2A",9606,8448,"NULL","16","16p11.2","double C2-like domains, alpha","protein-coding","DOC2A","double C2-like domains, alpha","O","doc2-alpha|double C2-like domain-contain",-2.292095738347,"down"
"44317",-2.27674208531548,-1.35157968296786,34.1549348932025,5.08940115217525e-09,0.000286650341093967,"FER1L5",9606,90342,"hCG_1810857","2","2q11.2","fer-1-like 5 (C. elegans)","protein-coding","FER1L5","fer-1-like 5 (C. elegans)","O","fer-1-like protein 5",-2.27674208531548,"down"
"15296",-2.27618373693008,-3.32578706573889,31.9598780213429,1.57389984726329e-08,0.000882170864391074,"PPIAP21",9606,170536,"NULL","20","20q12","peptidylprolyl isomerase A (cyclophilin A) pseudogene 21","pseudo","PPIAP21","peptidylprolyl isomerase A (cyclophilin A) pseudogene 21","O","NULL",-2.27618373693008,"down"
"50436",-2.2680751007709,0.71727863669022,32.1116965046282,1.45558335725157e-08,0.000816145588410958,"RP11-506F3.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2680751007709,"down"
"7827",-2.2644043323605,0.305923750436803,33.9572168117411,5.63373321934359e-09,0.000317190447715483,"FAM166B",9606,730112,"RP11-156G14.3","9","9p13.3","family with sequence similarity 166, member B","protein-coding","FAM166B","family with sequence similarity 166, member B","O","protein FAM166B",-2.2644043323605,"down"
"56055",-2.26229774682271,2.4219411803731,33.2216907002598,8.2228167925536e-09,0.000462188086275853,"MUSTN1",9606,389125,"NULL","3","3p21.1","musculoskeletal, embryonic nuclear protein 1","protein-coding","MUSTN1","musculoskeletal, embryonic nuclear protein 1","O","musculoskeletal embryonic nuclear protei",-2.26229774682271,"down"
"24498",-2.23175491413989,-0.343937882325035,35.2318935175051,2.92690713399288e-09,0.000165238542249568,"RP11-66B24.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.23175491413989,"down"
"9080",-2.22435166621826,-1.1862469588107,36.0540347063036,1.91920990738808e-09,0.000108585058140203,"RP11-96C23.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22435166621826,"down"
