"","target","p","padj"
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.565,1
"Coloring Agents","Coloring Agents",0.581,1
"Narcotic Antagonists","Narcotic Antagonists",0.591,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.605,1
"Antinematodal Agents","Antinematodal Agents",0.62,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.625,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.627,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.634,1
"Teratogens","Teratogens",0.637,1
"Diuretics","Diuretics",0.645,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.645,1
"Anticestodal Agents","Anticestodal Agents",0.655,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.679,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.679,1
"Cardiovascular Agents","Cardiovascular Agents",0.689,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.693,1
"Analgesics","Analgesics",0.697,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.722,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.722,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.722,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.722,1
"Antimetabolites","Antimetabolites",0.739,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.739,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.755,1
"Antihypertensive Agents","Antihypertensive Agents",0.771,1
"Dopamine Antagonists","Dopamine Antagonists",0.777,1
"Anthelmintics","Anthelmintics",0.797,1
"Insecticides","Insecticides",0.797,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.812,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.815,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.819,1
"Urological Agents","Urological Agents",0.819,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.821,1
"Antirheumatic Agents","Antirheumatic Agents",0.822,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.823,1
"Antiparasitic Agents","Antiparasitic Agents",0.827,1
"Antioxidants","Antioxidants",0.839,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.842,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.846,1
"Cardiotonic Agents","Cardiotonic Agents",0.855,1
"Vasodilator Agents","Vasodilator Agents",0.861,1
"GABA Antagonists","GABA Antagonists",0.862,1
"Antiemetics","Antiemetics",0.875,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.881,1
"Tubulin Modulators","Tubulin Modulators",0.882,1
"Antipsychotic Agents","Antipsychotic Agents",0.924,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.925,1
"Nootropic Agents","Nootropic Agents",0.925,1
"Antipruritics","Antipruritics",0.94,1
"Intercalating Agents","Intercalating Agents",0.959,1
"Trypanocidal Agents","Trypanocidal Agents",0.983,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.989,1
