"","target","p","padj"
"Antimetabolites","Antimetabolites",0.944,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.944,1
"Antipruritics","Antipruritics",0.945,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.955,1
"Nootropic Agents","Nootropic Agents",0.955,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.96,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.967,1
"Trypanocidal Agents","Trypanocidal Agents",0.969,1
"Antipsychotic Agents","Antipsychotic Agents",0.972,1
"Intercalating Agents","Intercalating Agents",0.977,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.992,1
