"","target","p","padj"
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.718,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.718,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.718,1
"Keratolytic Agents","Keratolytic Agents",0.719,1
"Vasodilator Agents","Vasodilator Agents",0.761,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.765,1
"Immunologic Factors","Immunologic Factors",0.77,1
"Protease Inhibitors","Protease Inhibitors",0.77,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.774,1
"Dopamine Antagonists","Dopamine Antagonists",0.783,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.788,1
"Uricosuric Agents","Uricosuric Agents",0.788,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.806,1
"Trypanocidal Agents","Trypanocidal Agents",0.816,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.827,1
"Antidepressive Agents","Antidepressive Agents",0.851,1
"Antipruritics","Antipruritics",0.869,1
"Antirheumatic Agents","Antirheumatic Agents",0.878,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.886,1
"Antipsychotic Agents","Antipsychotic Agents",0.887,1
"Narcotic Antagonists","Narcotic Antagonists",0.898,1
"Anthelmintics","Anthelmintics",0.918,1
"Insecticides","Insecticides",0.918,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.932,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.933,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.942,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.967,1
"Cardiovascular Agents","Cardiovascular Agents",0.98,1
