"","target","p","padj"
"Calcineurin Inhibitors","Calcineurin Inhibitors",0.671,1
"Coccidiostats","Coccidiostats",0.678,1
"Histamine H1 Antagonists, Non-Sedating","Histamine H1 Antagonists, Non-Sedating",0.684,1
"Alkylating Agents","Alkylating Agents",0.691,1
"Cross-Linking Reagents","Cross-Linking Reagents",0.691,1
"Progestins","Progestins",0.693,1
"Trypanocidal Agents","Trypanocidal Agents",0.712,1
"Coloring Agents","Coloring Agents",0.729,1
"Diuretics","Diuretics",0.767,1
"Sodium Chloride Symporter Inhibitors","Sodium Chloride Symporter Inhibitors",0.767,1
"Histamine H2 Antagonists","Histamine H2 Antagonists",0.768,1
"Teratogens","Teratogens",0.773,1
"Dopamine Antagonists","Dopamine Antagonists",0.778,1
"Tubulin Modulators","Tubulin Modulators",0.8,1
"Bronchodilator Agents","Bronchodilator Agents",0.804,1
"Calcium Channel Blockers","Calcium Channel Blockers",0.807,1
"Antioxidants","Antioxidants",0.813,1
"Bone Density Conservation Agents","Bone Density Conservation Agents",0.813,1
"Selective Estrogen Receptor Modulators","Selective Estrogen Receptor Modulators",0.813,1
"Antipsychotic Agents","Antipsychotic Agents",0.815,1
"Antimalarials","Antimalarials",0.818,1
"Antimetabolites","Antimetabolites",0.841,1
"Reverse Transcriptase Inhibitors","Reverse Transcriptase Inhibitors",0.841,1
"Contraceptives, Oral, Synthetic","Contraceptives, Oral, Synthetic",0.863,1
"Keratolytic Agents","Keratolytic Agents",0.865,1
"Anti-HIV Agents","Anti-HIV Agents",0.873,1
"Antirheumatic Agents","Antirheumatic Agents",0.873,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.874,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.874,1
"Histamine H1 Antagonists","Histamine H1 Antagonists",0.874,1
"Antihypertensive Agents","Antihypertensive Agents",0.885,1
"Antipruritics","Antipruritics",0.895,1
"Hydroxymethylglutaryl-CoA Reductase Inhibitors","Hydroxymethylglutaryl-CoA Reductase Inhibitors",0.919,1
"Anti-Allergic Agents","Anti-Allergic Agents",0.925,1
"Antidepressive Agents, Tricyclic","Antidepressive Agents, Tricyclic",0.926,1
"GABA Antagonists","GABA Antagonists",0.93,1
"Phosphodiesterase 5 Inhibitors","Phosphodiesterase 5 Inhibitors",0.946,1
"Urological Agents","Urological Agents",0.946,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.952,1
"Sympathomimetics","Sympathomimetics",0.952,1
"Tocolytic Agents","Tocolytic Agents",0.952,1
"Cholinesterase Inhibitors","Cholinesterase Inhibitors",0.979,1
"Nootropic Agents","Nootropic Agents",0.979,1
"Anticholesteremic Agents","Anticholesteremic Agents",0.991,1
